ID,quizz,question,choix1,choix2,choix3,choix4,bonne,explication,type,theme,palier,actif,palierProvisoire,veille,source
csp-0017,csp,Quels pays sont frontaliers de la France métropolitaine ?,"Belgique, Luxembourg, Allemagne, Suisse, Italie, Espagne, Andorre et Monaco",Uniquement l'Allemagne et l'Espagne,"Belgique, Pays-Bas et Royaume-Uni","Suisse, Autriche et Italie",1,"La France métropolitaine partage une frontière terrestre avec huit pays, dont deux micro-États : Andorre et Monaco.",simple,"Histoire, géographie et culture",2,VRAI,,,Géographie
csp-0018,csp,Le repos dominical (fermeture le dimanche) est-il la règle en France ?,"Oui, c'est le principe, avec des dérogations prévues par la loi","Non, aucune règle n'existe","Oui, sans aucune exception possible","Non, seul le lundi est concerné",1,"Le repos dominical est le principe du droit du travail français ; des dérogations existent (commerce alimentaire, tourisme, zones touristiques) mais restent encadrées.",simple,Vivre dans la société française,2,VRAI,,,"Code du travail, art. L3132-3"
csp-0019,csp,"Votre employeur vous propose d'être payé « au noir », sans contrat ni fiche de paie. Que faites-vous ?","Vous acceptez, c'est plus simple","Vous refusez : le travail dissimulé est un délit, qui vous prive aussi de droits sociaux (chômage, retraite, maladie)","Vous acceptez, mais seulement pour un mois",Vous demandez à être payé en espèces sans poser de question,2,"Le travail dissimulé est un délit pour l'employeur, et prive le salarié de la protection sociale (assurance chômage, retraite, arrêts maladie) à laquelle un contrat déclaré donne droit.",situation,Droits et devoirs des citoyens,2,VRAI,,,"Code du travail, art. L8221-1"
csp-0020,csp,"Votre propriétaire refuse de vous rendre votre dépôt de garantie deux mois après votre départ du logement, sans justification. Que pouvez-vous faire ?","Rien, c'est à sa discrétion","Le mettre en demeure par écrit, puis saisir la commission départementale de conciliation ou le tribunal si besoin",Reprendre vous-même les clés du logement,Attendre un an avant d'agir,2,"Le propriétaire doit restituer le dépôt de garantie dans un délai d'un ou deux mois selon l'état des lieux. Passé ce délai, une mise en demeure puis une conciliation ou un recours judiciaire sont possibles.",situation,Droits et devoirs des citoyens,2,VRAI,,,"Loi du 6 juillet 1989, art. 22"
csp-0021,csp,Vous recevez un courrier de l'administration que vous ne comprenez pas bien. Que pouvez-vous faire ?,"L'ignorer, il finira par se régler seul","Demander de l'aide à une structure d'accès aux droits (mairie, France Services, association) avant l'échéance indiquée","Le jeter, il n'est probablement pas important",Attendre un second courrier de rappel,2,"Les points d'accueil France Services et de nombreuses associations aident gratuitement à comprendre et répondre à un courrier administratif, souvent avant que le délai n'expire.",situation,Vivre dans la société française,2,VRAI,,,service-public.fr
csp-0022,csp,Qui contrôle la conformité des lois à la Constitution ?,Le Conseil constitutionnel,La Cour de cassation,Le Conseil d'État,Le Défenseur des droits,1,"Le Conseil constitutionnel vérifie la conformité des lois à la Constitution, avant leur promulgation ou a posteriori via la question prioritaire de constitutionnalité (QPC).",simple,Système institutionnel et politique,3,VRAI,,,"Constitution, art. 61"
csp-0023,csp,En quelle année les femmes ont-elles voté pour la première fois en France ?,1918,1936,1945,1958,3,"L'ordonnance du 21 avril 1944 accorde le droit de vote aux femmes, exercé pour la première fois aux élections municipales d'avril 1945.",simple,"Histoire, géographie et culture",3,VRAI,,,Ordonnance du 21 avril 1944
csp-0024,csp,Un salarié peut-il exercer son droit de grève ?,"Non, sauf dans la fonction publique","Oui, c'est un droit constitutionnel, encadré par la loi dans certains secteurs (préavis, service minimum)","Oui, sans aucune condition ni limite","Non, il doit démissionner pour protester",2,"Le droit de grève est garanti par le préambule de la Constitution de 1946. Certains secteurs (transports, santé) sont soumis à un préavis ou à un service minimum.",simple,Droits et devoirs des citoyens,3,VRAI,,,"Préambule de la Constitution de 1946, alinéa 7"
csp-0025,csp,Quel principe l'article 1er de la Constitution attribue-t-il à la République française ?,"Elle est indivisible, laïque, démocratique et sociale",Elle est fédérale et confessionnelle,Elle est monarchique et unitaire,Elle est régionale et religieuse,1,"L'article 1er définit la République comme « indivisible, laïque, démocratique et sociale », et affirme l'égalité de tous les citoyens sans distinction d'origine, de race ou de religion.",simple,Principes et valeurs de la République,3,VRAI,,,"Constitution, art. 1er"
cr-0001,cr,Combien de temps dure le mandat du Président de la République ?,4 ans,"5 ans, deux fois consécutives au plus","7 ans, renouvelable une fois","5 ans, une seule fois dans une vie",2,"Depuis la réforme de 2000, le mandat est de cinq ans. La révision de 2008 interdit d'exercer plus de deux mandats consécutifs.",simple,Système institutionnel et politique,1,VRAI,,,"Constitution, art. 6"
cr-0002,cr,Que signifie la laïcité en France ?,L'interdiction de toute religion dans l'espace public,"La neutralité de l'État, qui garantit la liberté de croire ou de ne pas croire",La reconnaissance officielle des principaux cultes,L'obligation pour chacun de déclarer sa religion,2,"La loi de 1905 sépare les Églises et l'État : l'État ne reconnaît ni ne salarie aucun culte, et garantit à chacun la liberté de conscience.",simple,Principes et valeurs de la République,1,VRAI,,,Loi du 9 décembre 1905
cr-0003,cr,À partir de quel âge la scolarité est-elle obligatoire en France ?,3 ans,5 ans,6 ans,7 ans,1,"Depuis la rentrée 2019, l'instruction est obligatoire dès 3 ans, et jusqu'à 16 ans.",simple,Droits et devoirs des citoyens,1,VRAI,,,"Code de l'éducation, art. L131-1"
cr-0004,cr,Qui était Marianne ?,Une reine de France,La représentation symbolique de la République,Une résistante de 1944,La première femme ministre,2,Marianne incarne la République depuis 1792. Son buste figure dans les mairies et son profil sur le timbre et le sceau de l'État.,simple,"Histoire, géographie et culture",1,VRAI,,,Notoriété
cr-0005,cr,Quelle est la devise inscrite sur les frontons des mairies et des écoles ?,"Travail, Famille, Patrie","Liberté, Égalité, Fraternité","Unité, Progrès, Justice",Honneur et Patrie,2,"La devise « Liberté, Égalité, Fraternité » est inscrite sur les bâtiments publics depuis la IIIe République.",simple,Principes et valeurs de la République,1,VRAI,,,"Constitution, art. 2"
cr-0006,cr,Comment s'appelle l'assemblée qui vote les lois au niveau national ?,Le Parlement,Le Conseil d'État,Le Conseil régional,La Cour des comptes,1,"Le Parlement, composé de l'Assemblée nationale et du Sénat, vote la loi et contrôle l'action du gouvernement.",simple,Système institutionnel et politique,1,VRAI,,,"Constitution, art. 24"
cr-0007,cr,Quel document permet de prouver son identité au quotidien en France ?,La carte d'identité ou le passeport,Le titre de séjour uniquement,La carte Vitale,Le RIB,1,"La carte nationale d'identité ou le passeport, quand ils existent, restent les documents de référence ; pour un étranger, le titre de séjour vaut également justificatif.",simple,Vivre dans la société française,1,VRAI,,,service-public.fr
cr-0008,cr,L'école publique en France est-elle payante ?,"Oui, une contribution est demandée chaque trimestre","Non, l'enseignement public est gratuit","Oui, mais réduite selon les revenus","Non, sauf les fournitures scolaires qui sont hors de prix",2,"La gratuité de l'enseignement public est un principe constitutionnel, réaffirmé depuis les lois Ferry de 1881-1882.",simple,Droits et devoirs des citoyens,1,VRAI,,,"Préambule de la Constitution de 1946, alinéa 13"
cr-0009,cr,Quel événement le 8 mai commémore-t-il ?,L'armistice de la Première Guerre mondiale,La capitulation allemande de 1945,La prise de la Bastille,La libération de Paris,2,"Le 8 mai commémore la capitulation allemande du 8 mai 1945, qui met fin à la Seconde Guerre mondiale en Europe.",simple,"Histoire, géographie et culture",1,VRAI,,,Notoriété historique
cr-0010,cr,Qui représente l'État dans un département ?,Le préfet,Le maire,Le président du conseil départemental,Le député,1,"Le préfet, nommé par le gouvernement, représente l'État dans le département et veille à l'application des lois.",simple,Système institutionnel et politique,1,VRAI,,,Code général des collectivités territoriales
cr-0011,cr,Un titulaire de la carte de résident a-t-il le droit de travailler en France ?,"Non, seul un titre spécifique le permet","Oui, la carte de résident autorise l'exercice de toute activité professionnelle","Oui, mais seulement à temps partiel","Non, sauf autorisation préfectorale au cas par cas",2,"La carte de résident, d'une durée de dix ans, autorise l'exercice de n'importe quelle activité professionnelle, salariée ou non, sans démarche supplémentaire.",simple,Droits et devoirs des citoyens,2,VRAI,,,CESEDA
cr-0012,cr,Quel rôle joue le Sénat dans la fabrication de la loi ?,"Aucun, seule l'Assemblée nationale vote la loi","Il examine et vote les textes, mais l'Assemblée nationale a le dernier mot en cas de désaccord",Il peut seul adopter une loi sans l'Assemblée,Il ne fait que nommer les ministres,2,"Le Sénat examine et peut amender les textes de loi ; en cas de désaccord persistant avec l'Assemblée nationale, celle-ci statue en dernier ressort.",simple,Système institutionnel et politique,2,VRAI,,,"Constitution, art. 45"
cr-0013,cr,La discrimination au logement en raison de l'origine est-elle autorisée ?,"Oui, un propriétaire choisit librement","Non, c'est un délit puni par la loi","Oui, si le bail le précise","Non, mais uniquement dans le logement social",2,"Refuser un logement en raison de l'origine, du nom ou de la nationalité est une discrimination punie par le code pénal, que le bailleur soit un particulier ou une agence.",simple,Droits et devoirs des citoyens,2,VRAI,,,"Code pénal, art. 225-1 et 225-2"
cr-0014,cr,Quel organisme gère le remboursement des frais médicaux en France ?,L'Assurance maladie (Sécurité sociale),Uniquement les mutuelles privées,La préfecture,La mairie,1,"L'Assurance maladie, branche de la Sécurité sociale, rembourse une partie des frais médicaux ; une complémentaire santé (mutuelle) peut compléter ce remboursement.",simple,Vivre dans la société française,2,VRAI,,,ameli.fr
cr-0015,cr,Que garantit la liberté d'association en France ?,"Le droit de créer librement une association, sur simple déclaration",Une autorisation préalable du maire est nécessaire,Seules les associations sportives sont autorisées,Le droit est réservé aux citoyens français,1,"Depuis la loi du 1er juillet 1901, toute personne peut créer une association librement, par simple déclaration en préfecture, sans autorisation préalable.",simple,Principes et valeurs de la République,2,VRAI,,,Loi du 1er juillet 1901
cr-0016,cr,Quels territoires font partie de la France en dehors de l'Europe ?,"Les départements et régions d'outre-mer (Guadeloupe, Martinique, Guyane, La Réunion, Mayotte) et les collectivités d'outre-mer","Aucun, la France se limite à l'hexagone",Seule la Corse,Uniquement d'anciennes colonies aujourd'hui indépendantes,1,"La France comprend des départements et régions d'outre-mer (DROM) et des collectivités d'outre-mer (COM), pleinement partie de la République.",simple,"Histoire, géographie et culture",2,VRAI,,,"Constitution, art. 72-3"
cr-0017,cr,Un employeur peut-il payer différemment un homme et une femme pour un même poste ?,"Oui, s'il le justifie par ancienneté équivalente","Non, l'égalité de rémunération est un principe légal, sauf différence de qualification ou d'ancienneté","Oui, sans justification","Non, sauf accord du salarié",2,"Le principe « à travail égal, salaire égal » est inscrit dans le code du travail : un écart n'est licite que s'il repose sur des critères objectifs comme l'ancienneté ou la qualification.",simple,Droits et devoirs des citoyens,2,VRAI,,,"Code du travail, art. L3221-2"
cr-0018,cr,Quel est le rôle de la carte Vitale ?,Elle sert de titre de transport,Elle atteste des droits à l'Assurance maladie et facilite le remboursement des soins,Elle remplace la carte d'identité,Elle donne accès aux aides au logement,2,La carte Vitale atteste des droits à l'Assurance maladie et permet la transmission automatique des feuilles de soins pour le remboursement.,simple,Vivre dans la société française,2,VRAI,,,ameli.fr
cr-0019,cr,Vous constatez que votre fiche de paie ne correspond pas aux heures réellement travaillées. Que faites-vous ?,"Rien, l'employeur a toujours raison","Vous en parlez d'abord à l'employeur, puis saisissez l'inspection du travail ou le conseil de prud'hommes si le désaccord persiste",Vous arrêtez de venir travailler,Vous attendez la fin de l'année pour réclamer,2,"Un salarié peut demander une régularisation à l'employeur, puis saisir l'inspection du travail ou, en cas de litige, le conseil de prud'hommes.",situation,Droits et devoirs des citoyens,2,VRAI,,,Code du travail
cr-0020,cr,Votre voisin fait du bruit tous les soirs après 22 h malgré vos demandes. Que pouvez-vous faire ?,"Rien, c'est une affaire privée sans recours","Le signaler à la police ou à la gendarmerie (tapage nocturne), ou saisir le maire si le trouble persiste",Couper l'électricité de son logement,Faire du bruit à votre tour pour vous venger,2,"Le tapage nocturne est une contravention. La police ou la gendarmerie peuvent intervenir, et le maire dispose d'un pouvoir de police pour faire cesser un trouble de voisinage persistant.",situation,Vivre dans la société française,2,VRAI,,,"Code pénal, art. R623-2"
cr-0021,cr,Vous êtes témoin d'un accident de la route. Avez-vous une obligation ?,"Non, vous pouvez repartir sans vous arrêter","Oui, porter assistance à une personne en danger est une obligation légale","Oui, mais seulement si vous êtes impliqué dans l'accident","Non, sauf demande expresse de la victime",2,"La non-assistance à personne en danger est un délit : toute personne doit porter secours ou alerter les secours (15, 18 ou 112) face à un danger grave.",situation,Droits et devoirs des citoyens,2,VRAI,,,"Code pénal, art. 223-6"
cr-0022,cr,Combien de temps la carte de résident est-elle valable ?,1 an,4 ans,10 ans,"À vie, sans renouvellement",3,La carte de résident est délivrée pour une durée de dix ans et est renouvelable de plein droit dans la plupart des cas.,simple,Système institutionnel et politique,3,VRAI,,,CESEDA
cr-0023,cr,Que promulgue la Déclaration des droits de l'homme et du citoyen de 1789 ?,"Les droits naturels et imprescriptibles de l'homme : liberté, propriété, sûreté et résistance à l'oppression",Le droit de vote des femmes,L'abolition définitive de l'esclavage,La séparation des Églises et de l'État,1,La DDHC du 26 août 1789 proclame les droits naturels de l'homme et pose les fondements des libertés publiques françaises.,simple,"Histoire, géographie et culture",3,VRAI,,,"DDHC 1789, art. 2"
cr-0024,cr,Quel principe protège un salarié qui refuse d'exécuter un ordre manifestement illégal ?,"Aucun, il doit toujours obéir à sa hiérarchie","Le droit de retrait ou de refus d'un ordre manifestement illégal, sans sanction possible",Il doit démissionner sur-le-champ,Seul un fonctionnaire peut refuser un ordre,2,"Un salarié ou un agent public peut refuser d'exécuter un ordre manifestement illégal, sans que cela puisse justifier une sanction.",simple,Principes et valeurs de la République,3,VRAI,,,"Code général de la fonction publique, art. L121-10 (principe transposable)"
cr-0025,cr,Le droit d'asile est-il reconnu par la Constitution française ?,"Non, il relève uniquement du droit européen","Oui, toute personne persécutée en raison de son action en faveur de la liberté a droit d'asile sur le territoire","Oui, mais réservé aux ressortissants européens","Non, seule une loi ordinaire le prévoit",2,Le droit d'asile est garanti par le préambule de la Constitution de 1946 pour toute personne persécutée en raison de son action en faveur de la liberté.,simple,Droits et devoirs des citoyens,3,VRAI,,,"Préambule de la Constitution de 1946, alinéa 4"
nat-0001,nat,Qui vote les lois en France ?,Le Président seul,"Le Parlement, composé de l'Assemblée nationale et du Sénat",Le Conseil constitutionnel,Le Premier ministre,2,"Le Parlement vote la loi. L'Assemblée nationale, élue au suffrage direct, a le dernier mot en cas de désaccord avec le Sénat.",simple,Système institutionnel et politique,1,VRAI,,,"Constitution, art. 24"
nat-0002,nat,Quels sont les trois pouvoirs de la République ?,"Militaire, civil et religieux","Législatif, exécutif et judiciaire","National, régional et communal","Économique, social et culturel",2,"La séparation des pouvoirs — faire la loi, l'appliquer, la faire respecter — protège les citoyens de l'arbitraire.",simple,Principes et valeurs de la République,1,VRAI,,,"Théorie de Montesquieu, reprise par la Constitution"
nat-0003,nat,Quelle est la devise de la République française ?,"Paix, Travail, Patrie","Liberté, Égalité, Fraternité","Unité, Justice, Progrès",Ordre et Progrès,2,"« Liberté, Égalité, Fraternité » est la devise officielle de la République, inscrite à l'article 2 de la Constitution.",simple,Principes et valeurs de la République,1,VRAI,,,"Constitution, art. 2"
nat-0004,nat,Depuis quelle année la Ve République existe-t-elle ?,1945,1958,1968,1981,2,"La Ve République est instaurée par la Constitution du 4 octobre 1958, portée par le général de Gaulle et Michel Debré.",simple,Système institutionnel et politique,1,VRAI,,,Constitution du 4 octobre 1958
nat-0005,nat,Que célèbre le 14 juillet ?,L'armistice de 1918,La prise de la Bastille et la fête de la Fédération,La libération de Paris,L'abolition de l'esclavage,2,La fête nationale commémore la prise de la Bastille du 14 juillet 1789 et la fête de la Fédération du 14 juillet 1790.,simple,"Histoire, géographie et culture",1,VRAI,,,Notoriété historique
nat-0006,nat,Le vote est-il obligatoire en France ?,"Oui, sous peine d'amende","Non, c'est un droit et non une obligation","Oui, mais seulement à l'élection présidentielle","Non, réservé aux plus de 25 ans",2,"Voter est un droit civique, pas une obligation légale — contrairement à la Belgique ou au Luxembourg, où l'abstention est sanctionnée.",simple,Droits et devoirs des citoyens,1,VRAI,,,Code électoral
nat-0007,nat,"Que signifie la laïcité, principe fondateur de la République ?",L'interdiction de toute religion,"La neutralité de l'État, qui garantit à chacun la liberté de croire ou de ne pas croire",La religion officielle de l'État,L'obligation de déclarer sa religion,2,"La loi du 9 décembre 1905 sépare les Églises et l'État : celui-ci ne reconnaît, ne salarie ni ne subventionne aucun culte, et garantit la liberté de conscience.",simple,Principes et valeurs de la République,1,VRAI,,,Loi du 9 décembre 1905
nat-0008,nat,Qui est l'auteur de La Marseillaise ?,Victor Hugo,Claude Joseph Rouget de Lisle,Napoléon Bonaparte,Jean-Jacques Rousseau,2,"Rouget de Lisle compose le « Chant de guerre pour l'armée du Rhin » en 1792 à Strasbourg ; il devient La Marseillaise, hymne national.",simple,"Histoire, géographie et culture",1,VRAI,,,Notoriété historique
nat-0009,nat,Comment le Président de la République est-il élu ?,Par le Parlement réuni en Congrès,"Au suffrage universel direct, à deux tours",Par les maires de France,Par tirage au sort parmi les candidats,2,"Depuis la réforme de 1962, approuvée par référendum, le Président est élu au suffrage universel direct, à deux tours si nécessaire.",simple,Système institutionnel et politique,1,VRAI,,,"Constitution, art. 6"
nat-0010,nat,"Quel numéro appeler en cas d'urgence en France, valable dans toute l'Union européenne ?",Le 15,Le 17,Le 18,Le 112,4,"Le 112 est le numéro d'urgence unique européen, accessible gratuitement dans tous les pays de l'UE, y compris depuis un téléphone verrouillé.",simple,Vivre dans la société française,1,VRAI,,,service-public.fr
nat-0011,nat,Combien de temps dure le mandat du Président de la République ?,"5 ans, deux fois consécutives au plus","5 ans, sans limite","7 ans, renouvelable une fois","5 ans, une seule fois",1,"Depuis la réforme de 2000, le mandat est de cinq ans. La révision constitutionnelle de 2008 limite à deux le nombre de mandats consécutifs.",simple,Système institutionnel et politique,2,VRAI,,,"Constitution, art. 6"
nat-0012,nat,En quelle année les femmes ont-elles obtenu le droit de vote en France ?,1918,1936,1944,1958,3,L'ordonnance du 21 avril 1944 accorde le droit de vote aux femmes ; elles votent pour la première fois en avril 1945.,simple,"Histoire, géographie et culture",2,VRAI,,,Ordonnance du 21 avril 1944
nat-0013,nat,Un citoyen peut-il être appelé à siéger comme juré dans une cour d'assises ?,"Non, seuls les magistrats jugent","Oui, tout citoyen inscrit sur les listes électorales peut être tiré au sort comme juré","Oui, mais uniquement les fonctionnaires","Non, sauf demande volontaire",2,Les jurés d'assises sont tirés au sort parmi les personnes inscrites sur les listes électorales ; la participation est un devoir civique.,simple,Droits et devoirs des citoyens,2,VRAI,,,"Code de procédure pénale, art. 254 et suivants"
nat-0014,nat,Quel principe la devise « Fraternité » traduit-elle notamment dans le droit français ?,L'interdiction de toute aide sociale,"La solidarité nationale, à l'origine de la Sécurité sociale et des minima sociaux",Un simple symbole sans portée juridique,L'obligation de bénévolat,2,"La fraternité inspire les mécanismes de solidarité nationale : Sécurité sociale, minima sociaux, et la reconnaissance par le Conseil constitutionnel d'un « principe de fraternité » en 2018.",simple,Principes et valeurs de la République,2,VRAI,,,"Conseil constitutionnel, décision n° 2018-717/718 QPC"
nat-0015,nat,Quel est le rôle du Conseil constitutionnel ?,Juger les crimes les plus graves,Vérifier la conformité des lois à la Constitution,Administrer les préfectures,Nommer les ministres,2,"Le Conseil constitutionnel contrôle la conformité des lois à la Constitution, avant leur promulgation ou via la question prioritaire de constitutionnalité.",simple,Système institutionnel et politique,2,VRAI,,,"Constitution, art. 61"
nat-0016,nat,Quel est le rôle de l'école publique en France vis-à-vis de la religion ?,Elle enseigne la religion majoritaire du pays,"Elle est laïque : aucun enseignement religieux n'y est dispensé, et les signes religieux ostensibles y sont interdits pour les élèves",Elle est libre d'organiser un culte,"Elle interdit toute discussion sur les religions, y compris en histoire",2,"L'école publique est laïque depuis les lois Ferry ; la loi du 15 mars 2004 interdit le port de signes religieux ostensibles par les élèves, sans empêcher l'enseignement du fait religieux en histoire.",simple,Vivre dans la société française,2,VRAI,,,Loi du 15 mars 2004
nat-0017,nat,"L'égalité devant la loi, proclamée par la République, signifie-t-elle une égalité de traitement quelle que soit l'origine ?","Oui, sans distinction d'origine, de race ou de religion","Non, certaines origines bénéficient d'un statut particulier","Oui, mais seulement pour les citoyens nés en France","Non, l'égalité ne concerne que les hommes",1,"L'article 1er de la Constitution garantit l'égalité de tous les citoyens devant la loi, sans distinction d'origine, de race ou de religion.",simple,Droits et devoirs des citoyens,2,VRAI,,,"Constitution, art. 1er"
nat-0018,nat,Quel événement marque l'abolition définitive de l'esclavage dans les colonies françaises ?,Le décret du 27 avril 1848,La Révolution de 1789,La loi de 1905,Le traité de Versailles,1,"Après une première abolition en 1794 puis son rétablissement par Napoléon en 1802, le décret du 27 avril 1848, porté par Victor Schœlcher, abolit définitivement l'esclavage dans les colonies françaises.",simple,"Histoire, géographie et culture",2,VRAI,,,Décret du 27 avril 1848
nat-0019,nat,Votre voisin vous demande de signer une pétition contre l'ouverture d'un lieu de culte dans le quartier. Que faites-vous ?,Vous signez : la majorité du quartier doit décider,Vous refusez : la liberté de culte est garantie par la loi et ne dépend pas d'un vote de voisinage,Vous signez sans donner votre nom,Vous demandez au maire d'interdire le projet,2,La liberté de conscience et de culte est garantie par la loi de 1905. Une pétition de voisinage n'a aucune valeur juridique dès lors que le projet respecte les règles d'urbanisme et d'ordre public.,situation,Vivre dans la société française,2,VRAI,,,Loi du 9 décembre 1905
nat-0020,nat,Un collègue tient des propos racistes de façon répétée au travail. Quelle est la bonne démarche ?,Ignorer : les propos entre collègues ne regardent pas l'employeur,"Alerter l'employeur, tenu de protéger ses salariés ; les propos racistes sont par ailleurs punis par la loi",Répondre sur le même ton pour rétablir l'équilibre,Attendre d'avoir réuni au moins trois témoins avant d'en parler,2,"L'employeur a une obligation de sécurité qui couvre le harcèlement discriminatoire. Les injures racistes sont en outre pénalement réprimées, et l'inspection du travail peut être saisie.",situation,Droits et devoirs des citoyens,2,VRAI,,,"Code pénal, art. R625-7 ; loi du 29 juillet 1881"
